source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,without_MiniMax-M3,epistemic_caution,mathdial_hard,0.15318111672278337,0.15783261149946734,0.1606951244964847,-0.017835292953354995,-0.09900185897768084,0.034583561170614986,0.38
conservative_cohort,without_MiniMax-M3,epistemic_caution,mathdial_standard,0.20920021106588269,0.20414973899821096,0.2059521991077218,-0.008877452965418422,-0.06061836163477826,0.023743967620958224,0.39
conservative_cohort,without_MiniMax-M3,help_directness,ALL_EQUAL_TASK_WEIGHT,0.928321469602046,0.7007841998136035,0.6975963046989672,0.004582216810902931,-0.03195789724717911,0.031388166760663895,0.68
conservative_cohort,without_MiniMax-M3,help_directness,longtutor,0.6512152777777779,0.4796221555476696,0.45618482669828625,0.04889045901579388,-0.02742650250432513,0.09454664161401391,0.87
conservative_cohort,without_MiniMax-M3,help_directness,mathdial_hard,1.054415684624018,0.8379365776438226,0.8470852130725285,-0.010605528451797514,-0.08570489731627523,0.03535033395847025,0.46
conservative_cohort,without_MiniMax-M3,help_directness,mathdial_standard,1.0793334464043418,0.7847938662493186,0.7895188743260868,-0.00600613317015394,-0.052415922517216995,0.023584246540540265,0.47
conservative_cohort,without_MiniMax-M3,personalization,ALL_EQUAL_TASK_WEIGHT,0.6263088405475429,0.5615121852136625,0.5070391953597744,0.09730042165002381,0.04225625897349509,0.12757798980245894,0.99
conservative_cohort,without_MiniMax-M3,personalization,longtutor,1.5901041666666669,1.3389022124174124,1.250064329616341,0.06673888053570591,-0.003058947368367281,0.10784832013768052,0.93
conservative_cohort,without_MiniMax-M3,personalization,mathdial_hard,0.19442690796857462,0.22483072587427658,0.1868898809056438,0.16817430930191232,0.10715893504855119,0.22079855343190222,1.0
conservative_cohort,without_MiniMax-M3,personalization,mathdial_standard,0.0943954470073873,0.12080361734929852,0.0841633755573382,0.3023801342032794,0.24483368552883722,0.35872585516925076,1.0
conservative_cohort,without_deepseek-v4-pro,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.6730664246807488,0.47066936730399933,0.44816366835501253,0.04788515488302738,0.01992457788403914,0.0762181043412177,0.97
conservative_cohort,without_deepseek-v4-pro,affective_warmth,longtutor,0.5647569444444445,0.4051395122319714,0.33790526868135834,0.1659446930148013,0.11440972195274073,0.20487986808625158,1.0
conservative_cohort,without_deepseek-v4-pro,affective_warmth,mathdial_hard,0.767922278338945,0.556415785739366,0.5604163411898382,-0.006655975495175856,-0.09313385297202918,0.04251849273950197,0.49
conservative_cohort,without_deepseek-v4-pro,affective_warmth,mathdial_standard,0.6865200512588572,0.4504528039406604,0.4461693951938412,0.009574940067191826,-0.04198631379299269,0.0428445723448085,0.74
conservative_cohort,without_deepseek-v4-pro,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.8038205175720724,0.597093020002339,0.5688366864158274,0.047354339112404394,0.006891351039276501,0.07397671262246756,0.95
conservative_cohort,without_deepseek-v4-pro,autonomy_support,longtutor,0.5887152777777778,0.46867096687526827,0.39841236870825164,0.1498803115567315,0.0837691321008943,0.1983576322145068,1.0
conservative_cohort,without_deepseek-v4-pro,autonomy_support,mathdial_hard,0.9626999158249159,0.745254469992246,0.7343024796896809,0.015082761906530982,-0.07801014948486047,0.06728670795115393,0.73
conservative_cohort,without_deepseek-v4-pro,autonomy_support,mathdial_standard,0.8600463591135233,0.5773536231395028,0.5737952108495495,0.006190813243625161,-0.045227444947423166,0.04124407274705145,0.68
conservative_cohort,without_deepseek-v4-pro,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.3546468083962902,0.2959708241565514,0.28822343884971513,0.026232151293035945,-0.01329590571945981,0.05404414498933721,0.89
conservative_cohort,without_deepseek-v4-pro,cognitive_load,longtutor,0.36475694444444445,0.27697298836358875,0.2538737197619883,0.08358054542208636,0.009873785719399078,0.12952514609124544,0.95
conservative_cohort,without_deepseek-v4-pro,cognitive_load,mathdial_hard,0.3577090347923682,0.3171701839394886,0.3180704437447525,-0.0024721460418664467,-0.07122959209317793,0.04484878082039575,0.56
