event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,86,default_vs_context,0.08980722237846732,1280,19,-0.07613502281816943
answer_reveal,86,student_state_vs_domain,0.000691384550407334,1280,19,-0.07613502281816943
answer_reveal,87,default_vs_context,0.08854171876635844,1240,19,-0.07442784210833489
answer_reveal,87,student_state_vs_domain,0.00036106696115636994,1240,19,-0.07442784210833489
answer_reveal,88,default_vs_context,0.0897648643220543,1240,17,-0.07876332408768041
answer_reveal,88,student_state_vs_domain,0.0005991451805220926,1240,17,-0.07876332408768041
answer_reveal,89,default_vs_context,0.08845130588912004,1280,22,-0.06938898612182157
answer_reveal,89,student_state_vs_domain,0.00010123530030628491,1280,22,-0.06938898612182157
answer_reveal,90,default_vs_context,0.08915326814033198,1240,18,-0.07823229652123323
answer_reveal,90,student_state_vs_domain,0.00027177165624775457,1240,18,-0.07823229652123323
answer_reveal,91,default_vs_context,0.09060532510146727,1240,21,-0.07235702367806629
answer_reveal,91,student_state_vs_domain,0.00011826824978949241,1240,21,-0.07235702367806629
answer_reveal,92,default_vs_context,0.09142799053354184,1280,18,-0.07123048937916612
answer_reveal,92,student_state_vs_domain,-0.0003718959739460667,1280,18,-0.07123048937916612
answer_reveal,93,default_vs_context,0.08864737248371893,1240,23,-0.07771805197508463
answer_reveal,93,student_state_vs_domain,0.00022328686450567847,1240,23,-0.07771805197508463
answer_reveal,94,default_vs_context,0.08926775270704232,1200,21,-0.07464096500981843
answer_reveal,94,student_state_vs_domain,-0.00012043337540210142,1200,21,-0.07464096500981843
answer_reveal,95,default_vs_context,0.09148306141585175,1320,23,-0.07911999788113103
answer_reveal,95,student_state_vs_domain,0.0004224978687583786,1320,23,-0.07911999788113103
answer_reveal,96,default_vs_context,0.091723039263522,1280,21,-0.07068624791988766
answer_reveal,96,student_state_vs_domain,-0.00015618538822903538,1280,21,-0.07068624791988766
answer_reveal,97,default_vs_context,0.08939184007904409,1200,16,-0.05916327366148261
answer_reveal,97,student_state_vs_domain,-0.0006999344966050342,1200,16,-0.05916327366148261
answer_reveal,98,default_vs_context,0.08973297595669952,1320,23,-0.07970728505859345
answer_reveal,98,student_state_vs_domain,0.0006595592157187524,1320,23,-0.07970728505859345
