classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,standard,telling,deepseek-v4-flash,48,0.375,0.125,-0.25,-0.3958333333333333,-0.10416666666666667
char_svm,standard,telling,deepseek-v4-pro,48,0.4166666666666667,0.10416666666666667,-0.3125,-0.4375,-0.1875
char_svm,standard,telling,doubao-seed-2.0-lite,48,0.3541666666666667,0.0625,-0.2916666666666667,-0.4375,-0.14583333333333334
char_svm,standard,telling,doubao-seed-2.0-pro,48,0.2916666666666667,0.041666666666666664,-0.25,-0.3958333333333333,-0.10416666666666667
char_svm,standard,telling,glm-5.2,48,0.3125,0.08333333333333333,-0.22916666666666666,-0.375,-0.08333333333333333
char_svm,standard,telling,minimax-m2.7,48,0.6875,0.14583333333333334,-0.5416666666666666,-0.6875,-0.3958333333333333
char_svm,standard,telling,minimax-m3,48,0.3333333333333333,0.10416666666666667,-0.22916666666666666,-0.3958333333333333,-0.0625
char_svm,standard,telling,qwen3.5-4b,48,0.3541666666666667,0.20833333333333334,-0.14583333333333334,-0.3333333333333333,0.041666666666666664
char_svm,standard,telling,qwen3.8-27b,48,0.6041666666666666,0.25,-0.3541666666666667,-0.5,-0.20833333333333334
hybrid_svm,hard,generic,deepseek-v4-flash,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,deepseek-v4-pro,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,doubao-seed-2.0-lite,1,1.0,0.0,-1.0,-1.0,-1.0
hybrid_svm,hard,generic,doubao-seed-2.0-pro,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,glm-5.2,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,minimax-m2.7,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,minimax-m3,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,qwen3.5-4b,1,0.0,0.0,0.0,0.0,0.0
hybrid_svm,hard,generic,qwen3.8-27b,1,0.0,1.0,1.0,1.0,1.0
hybrid_svm,hard,probing,deepseek-v4-flash,265,0.14339622641509434,0.30943396226415093,0.1660377358490566,0.10566037735849057,0.22641509433962265
hybrid_svm,hard,probing,deepseek-v4-pro,265,0.16226415094339622,0.39245283018867927,0.23018867924528302,0.16226415094339622,0.2981132075471698
hybrid_svm,hard,probing,doubao-seed-2.0-lite,265,0.16226415094339622,0.29056603773584905,0.12830188679245283,0.07169811320754717,0.18490566037735848
hybrid_svm,hard,probing,doubao-seed-2.0-pro,265,0.16226415094339622,0.32452830188679244,0.16226415094339622,0.09056603773584905,0.2339622641509434
hybrid_svm,hard,probing,glm-5.2,265,0.2792452830188679,0.4377358490566038,0.15849056603773584,0.08679245283018867,0.23018867924528302
hybrid_svm,hard,probing,minimax-m2.7,265,0.10943396226415095,0.3018867924528302,0.19245283018867926,0.12830188679245283,0.26037735849056604
